Palabras clave de consultas formuladas al CAS.,
,
Asesoría,Palabras señaladas por las personas. 
Requiere saber su número de semanas cotizadas,"Historial laboral
Semanas cotizadas
Documentos para su pensión
Que el INAI le pida al IMSS me reconozca mis cotizadas
Constancia de semanas cotizadas
No aparecen todas mis semanas"
Requiere obtener expediente médico,"Expediente clínico
Expediente médico"
Requiere interponer una denuncia por vulneración de datos personales. ,"Robaron mi identidad
Me hicieron fraude
Robaron mis datos
Vulneraron mis datos
Me están marcando de una app de préstamos
Me marcan para cobrarme un crédito que no pedí
No di mis datos personales
No cuenta con aviso de privacidad
No proporcioné mis datos personales"
Requiere ingresar una solicitud de protección de derechos,"No puedo ingresar mi denuncia en PRODATOS
No acepta mi FIEL en PRODATOS
No me entregaron mis datos
Me negaron el acceso a mis datos
No corrigieron mis datos"
Requiere acceder a su Certificado COVID o corregir datos contenidos en él. ,"Mi certificado COVID está mal.
¿Cómo puedo descargar mi certificado COVID?
Pedí corregir mi certificado COVID y no lo han hecho. 
No aparece mi segunda dosis
Los datos de mi certificado son incorrectos"
Requiere copia de su resolución de pensión ,"Resolución de pensión. 
Extravié mi hoja de resolución de pensión
Negativa de pensión
Pensión por invalidez
"
Requiere solicitar información pública a una dependencia de gobierno.,"Solicito que el INAI me de información. 
Requiero que el INAI pida a XXXX que me proporcione información. 
Requiero acceso a informaión
Solicito acceso a información pública en posesión de…
Requiero datos de contacto de…
Quiero presentar una solicitud…
A quien debo dirigir mi solicitud para…
""…presentar una solicitud de acceso…""
Cómo pido información a..."
Requiere inscribirse en un curso de capacitación ofrecido por el INAI. ,"Necesito informes sobre el curso de…
Qué cursos tiene el INAI
¿El INAI capacita?"
Requiere información de eventos del INAI,"Solicito información sobre el evento organizado por el INAI de…
Quien me puede dar informes sobre el evento de…"
