Trainning Data,,,,,,
,,,,,,
SL No,Sample Id,Intent Id,Intent Name,Intent Sample,Intent Type,
1,146929,25555,Saber qué es el pleno del INAI,Que hace el pleno?,INTENT,
2,146930,25555,Saber qué es el pleno del INAI,pleno,INTENT,
3,146933,25529,¿Dónde están los informes del INAI?,informes laborales,INTENT,
4,146935,25525,Qué y quienes son los comisionados,comisionados,INTENT,
5,146936,25526,¿Cuáles son los criterios de interpretación?,criterios de interpretación,INTENT,
6,146937,25554,¿Dónde consultar las estadísticas del INAI?,estadísticas,INTENT,
7,146944,25547,Estados financieros del INAI,Estados financieros,INTENT,
8,146945,30408,Fintech,Fintech,INTENT,
9,146947,29801,búho legal,Buho Legal,INTENT,
10,146952,29790,CURP,Curp,INTENT,
11,146953,29979,Pasaporte,pasaporte,INTENT,
12,146954,29979,Pasaporte,pasaporte,INTENT,
13,146955,29979,Pasaporte,pasaporte,INTENT,
14,146956,29979,Pasaporte,pasaporte,INTENT,
15,146957,29979,Pasaporte,Pasaporte,INTENT,
16,146958,25501,Saber qué es y hace el INAI,¿Qué es el INAI?,INTENT,
17,146959,25512,Saber que es el CAS,¿Qué es el CAS?,INTENT,
18,146961,25501,Saber qué es y hace el INAI,¿Para qué sirve el INAI?,INTENT,
19,146962,25513,Atención Presencial,¿Tienen atención presencial?,INTENT,
20,146963,25513,Atención Presencial,¿Puedo ir en persona?,INTENT,
21,146964,25513,Atención Presencial,¿Atienden presencialmente?,INTENT,
22,146967,25512,Saber que es el CAS,Centro de Atención a la Sociedad,INTENT,
23,146968,30468,Órganos Garantes Locales,Órgano Garante Local,INTENT,
24,146969,30468,Órganos Garantes Locales,Órganos Garantes,INTENT,
25,146970,30397,Historial Laboral IMSS,Historial Laboral del IMSS,INTENT,
26,146971,30393,Resolución de Pensión,Resolución de pensión,INTENT,
27,146972,30393,Resolución de Pensión,Solicitar mi pensión,INTENT,
28,146973,30393,Resolución de Pensión,Pensión del IMSS,INTENT,
29,146974,30389,Saber cómo realizar una negativa de pensión IMSS,Negativa de pensión,INTENT,
30,146975,25666,Como acceder a un certificado de defunción.,Certificado de defunción,INTENT,
