,Siglas,Nombre_Completo
0,adela2 mxabierto,Institución dummy para pruebas
1,AEFCM,Autoridad Educativa Federal en la Ciudad de México
2,AEM,Agencia Espacial Mexicana
3,Aeropuertos y Servicios Auxiliares,Aeropuertos y Servicios Auxiliares
4,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal
5,AGN,El Archivo General de la Nación es el órgano rector de la archivística...
6,AGRICULTURA,Secretaría de Agricultura y Desarrollo Rural
7,AGROASEMEX,AGROASEMEX es una institución nacional de seguros que tiene como misión...
8,AICM,Aeropuerto Internacional de la Ciudad de México
9,APBP,La Beneficiencia Pública fue creada con el fin de generar y canalizar...
10,API-ATM,Coordinación General de Puertos y Marina Mercante de Altamira
11,API-COA,Coordinación General de Puertos y Marina Mercante de Coatzacoalcos
12,API-DB,"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."
13,API-ESE,"La API tiene como principal objetivo administrar, supervisar, controlar y..."
14,API-GYM,Coordinación General de Puertos y Marina Mercante de Guaymas
15,API-LZC,Coordinación General de Puertos y Marina Mercante de Lázaro Cárdenas
16,API-MZT,"Administración Portuaria Integral de Mazatlán, S.A. de C.V."
17,API-SCX,"API Salina Cruz ofrece los servicios de puerto, atraque, muellaje, maniobras,..."
18,API-T,Coordinación General de Puertos y Marina Mercante de Topolobampo
19,API-TAM,Coordinación General de Puertos y Marina Mercante de Tampico
20,API-TUX,Coordinación General de Puertos y Marina Mercante de Tuxpan
21,API-VER,Coordinación General de Puertos y Marina Mercante de Veracruz
22,API-VSA,"Administración Portuaria Integral Puerto Vallarta, S.A. de C.V."
23,API-ZLO,Administración Portuaria Integral de Manzanillo
24,ARTF,Agencia Reguladora del Transporte Ferroviario
25,ASEA,"Agencia de Seguridad, Energía y Ambiente"
26,ASE Chihuahua,Auditoría Superior del Estado de Chihuahua
27,ASE Guanajuato,Auditoría Superior del Estado de Guanajuato
28,ASERCA,Agencia de Servicios a la Comercialización y Desarrollo de Mercados...
29,ASIPONA ALT,"Administración del Sistema Portuario Nacional Altamira, S.A. de C.V."
30,ASIPONA COA,"Administración del Sistema Portuario Nacional Coatzacoalcos, S.A. de C.V."
31,ASIPONA DBO,"Administracion del Sistema Portuario Nacional Dos Bocas, S.A. de C.V."
32,ASIPONA-ENS,"Administración Portuaria Integral de Ensenada, S.A. de C.V"
33,ASIPONA GUAY,"Administración del Sistema Portuario Nacional Guaymas, S.A. de C.V."
34,ASIPONA LAC,"Administración del Sistema Portuario Nacional Lázaro Cárdenas, S.A. de C.V."
35,ASIPONA MAN,"Administración del Sistema Portuario Nacional Manzanillo, S.A. de C.V."
36,ASIPONA MAZ,"Administración del Sistema Portuario Nacional Mazatlán, S.A. de C.V."
37,ASIPONA-PCH,"Puerto Chiapas es considerado como uno de los 16 puertos de altura en México,..."
38,ASIPONA-PROGRESO,Administración del Sistema Portuario Nacional de Progreso
39,ASIPONASC,"Administración del Sistema Portuario Nacional Salina Cruz, S.A. de C.V."
40,ASIPONA SC,"Administración del Sistema Portuario Nacional Salina Cruz, S.A. de C.V."
41,ASIPONA TAM,"Administración del Sistema Portuario Nacional Tampico, S.A. de C.V."
42,ASIPONA TOPO,"Administración del Sistema Portuario Nacional Topolobampo, S.A. de C.V."
43,ASIPONA TUX,"Administracion del Sistema Portuario Nacional Tuxpan, S.A. de C.V."
44,ASIPONA VAL,"Administración del Sistema Portuario Nacional Puerto Vallarta, S.A. de C.V."
45,ASIPONA VER,"Administración del Sistema Portuario Nacional Veracruz, S.A. de C.V."
46,Atlas de Complejidad Económica,Ayuntamiento de Ahome
47,Ayuntamiento de Ciudad Juárez,Ayuntamiento de Minatitlán
48,Ayuntamiento de Morelia,Ayuntamiento de Puebla
49,Ayuntamiento de Reynosa,Ayuntamiento de San Luis Potosí
50,Ayuntamiento de San Pedro Garza García,"Municipio de San Pedro Garza García, Nuevo León. El Gran Ejemplo de México."
51,Ayuntamiento de Torreón,"Ayuntamiento de Torreón, Coahuila de Zaragoza"
52,Ayuntamiento de Veracruz,Ayuntamiento de Victoria
53,"Gobierno del Municipio de Victoria, Tamaulipas",Ayuntamiento de Xalapa
54,Ayuntamiento de Zapopan,BACHILLERES
55,Colegio de Bachilleres,BANCOMEXT
56,El Banco Nacional de Comercio Exterior S.N.C. (Bancomext) tiene por objeto...,BANJERCITO
57,BANOBRAS,Banco Nacional de Obras y Servicios Públicos
58,BANSEFI,Banco del Ahorro Nacional y Servicios Financieros
59,BIENESTAR,BIRMEX
60,"Los Laboratorios de Biológicos y Reactivos de México, S.A. de C.V. (Birmex)...",Cámara de Diputados
61,Canal 11,"Canal Once, del Instituto Politécnico Nacional,  es desde 1959 la televisora..."
62,Canal 22,Television Metropolitana S.A. de C.V.
63,CAPUFE,Caminos y Puentes Federales de Ingresos y Servicios Conexos es un Organismo...
64,CEAV,La Comisión Ejecutiva de Atención  a Víctimas atiende y apoya a quienes hayan...
65,CECUT,Centro Cultural Tijuana
66,CENACE,El Centro Nacional de Control de Energía es el operador independiente del...
67,CENAGAS,Centro Nacional de Control del Gas Natural
68,CENAM,Centro Nacional de Metrología
69,CENAPRECE,El Centro Nacional de Programas Preventivos y Control de Enfermedades...
70,CENAPRED,La responsabilidad principal del Centro Nacional de Prevención de Desastres...
71,CENATRA,Centro Nacional de Trasplantes
72,CENETEC,Centro Nacional de Excelencia Tecnológica en Salud
73,CENSIA,Centro Nacional para la Salud de la Infancia y la Adolescencia
74,CENSIDA,El Centro Nacional para la Prevención y el Control del VIH y el Sida cuya...
75,CentroGeo,CENTROLABORAL
76,CETI,Centro de Enseñanza Técnica Industrial
77,CFE,La Comisión Federal de Electricidad es una empresa del gobierno mexicano que...
78,CIAD,Contribuimos al desarrollo sustentable y al bienestar de la sociedad en las...
79,CIATEC,"El Centro de Innovación Aplicada en Tecnologías Competitivas (CIATEC, A.C.)..."
80,CIATEJ,El Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de...
81,CIATEQ,CIBNOR
82,El Centro de Investigaciones Biológicas del Noroeste es un Centro Público de...,CICESE
83,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja...",CICY
84,"Realizamos investigación científica, formamos recursos humanos, divulgamos...",CIDE
85,Centro de Investigación y Docencia Económicas,CIDESI
86,Centro de Ingeniería y Desarrollo Industrial,CIDETEQ
87,Somos un Centro comprometido en contribuir al bienestar social con la...,CIESAS
88,Centro de Investigaciones y Estudios Superiores en Antropología Social,CIJ
89,Institucion que proporciona servicios de prevencion y tratamiento para...,CIMAT
90,"Centro perteneciente a CONACYT, dedicado a actividades de Investigación en...",CIMAV
91,CINETECA NACIONAL,"Rescatar, preservar, conservar, incrementar y catalogar los acervos fílmico,..."
92,CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico...
93,CIO,El CIO desarrolla investigación básica y aplicada que contribuye a la...
94,CIQA,CJF
95,CMM,"Casa de Moneda de México acuña y comercializa monedas y medallas, a través de..."
96,CNBBBJ,Coordinación Nacional de Becas para el Bienestar Benito Juárez
97,CNBV,Comisión Nacional Bancaria y de Valores
98,CNEGSR,Centro Nacional de Equidad de Género y Salud Reproductiva
99,CNH,CNSF
100,Comisión Nacional de Seguros y Fianzas,CNTS
101,Centro Nacional de la Transfusión Sanguínea ,COFAA
102,COFEPRIS,COLEF
103,Centro público de investigación CONACYT,COLEF
104,El Colegio de la Frontera Norte,COLMICH
105,Colegio de Michoacan,COLPOS
106,COLSAN,"EL COLEGIO DE SAN LUIS, AC"
107,COMIMSA,CONABIO
108,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,CONACYT
109,Hacer del conocimiento y la innovación una palanca fundamental para el...,CONADE
110,Comisión Nacional de Cultura Física y Deporte ,CONADESUCA
