,testado
0,"['La', 'que', 'suscribe', '####', '####', 'con', 'número', 'de', 'seguridad', 'social', '####', '####', '####', '####', '####', 'por', 'medio', 'del', 'presente', 'me', 'permito', 'solicitar', 'una', 'cita', 'para', 'que', 'hacer', 'trámite', 'administrativo', 'para', 'que', 'se', 'me', 'reconozcan', 'las', 'semanas', 'cotizadas', 'en', 'la', 'Empresa', '####', '####', ',', '####', ',', '####', 'B10-11696-10-6', ',', 'ubicada', 'en', 'la', '####', 'de', '####', 'No', '####', '40', 'piso', '7', ',', 'en', 'la', '####', '####', ',', '####', '####', 'Hidalgo', ',', '####', ',', '####', '11550', '####', 'mi', 'periodo', 'laborado', 'del', '03', 'de', 'Enero', 'de', '1980', 'al', '15', 'de', 'febrero', 'de', '198']"
1,"['Me', 'refiero', 'a', 'su', 'correo', 'electrónico', ',', 'recibido', 'en', 'el', 'Centro', 'de', 'Atención', 'a', 'la', '####', '(', '####', ')', 'de', 'este', 'Instituto', ',', 'en', 'el', 'cual', 'manifiesta', 'que', 'requiere', 'acceso', 'a', 'su', 'expediente', 'medico', 'de', 'la', 'atención', 'que', 'le', 'brindaron', 'a', 'su', 'familiar', 'por', 'parte', 'de', 'una', 'psicóloga', '.']"
2,"['Me', 'dirijo', 'a', 'ustedes', 'de', 'la', 'manera', 'más', 'atenta', 'para', 'solicitar', 'copia', 'de', 'estudios', 'que', 'se', 'me', 'realizaron', 'en', 'el', '####', '20', 'de', '####', 'del', '####', ',', 'según', 'carta', 'anexa', '.', 'El', 'día', 'de', 'hoy', '2', 'de', 'agosto', 'acudí', 'al', 'hospital', 'antes', 'mencionado', 'y', 'me', 'comentaron', 'que', 'ya', 'no', 'se', 'solicitan', 'ahí', ',', 'me', 'dieron', 'la', 'dirección', 'de', 'ustedes', ',', 'llegué', 'y', 'la', 'chiuca', 'que', 'me', 'atendió', 'en', 'una', 'recepción', 'del', '####', 'me', 'informó', 'que', 'no', 'tenía', 'conocimiento', 'alguno', ',', 'es', 'por', 'eso', 'que', 'decidí', 'enviarles', 'un', 'correo', 'con', 'mi', 'solicitud', ',', 'misma', 'que', 'agradeceré', 'confirmar', 'su', 'recepción', 'y', 'en', 'qué', 'tiempo', 'puedo', 'contar', 'con', 'ellos', '.', 'Agradezco', 'su', 'atención']"
3,"['""', '...', 'Soy', '####', 'en', '####', '####', 'y', 'Administración', 'Pública', ',', 'egresado', 'por', 'la', '####', '####', '####', 'Puebla', ',', 'tengo', '10', 'años', 'de', 'experiencia', 'dentro', 'de', 'la', 'Administración', 'Pública', 'municipal', 'y', 'Estatal', ',', 'trabajé', 'cuatro', 'años', 'y', 'medio', 'en', 'la', 'atención', 'de', 'solicitudes', 'de', 'acceso', 'de', 'información', 'y', 'protección', 'de', 'datos', 'personales', ',', 'así', 'como', 'en', 'la', 'administración', 'de', 'información', 'del', '####', 'de', '####', 'de', 'Puebla', '####', 'y', 'fui', 'Titular', 'de', 'la', '####', 'de', '####', 'del', 'Centro', 'de', '####', '####', 'del', 'Estado', 'de', 'Puebla', '.', 'El', 'motivo', 'de', 'este', 'mensaje', 'es', 'porque', 'no', 'he', 'logrado', 'cargar', 'mi', 'información', 'curricular', 'en', 'la', 'página', 'web', 'del', '####', ',', 'motivo', 'por', 'el', 'cual', 'solicito', 'de', 'su', 'valioso', 'apoyo', 'para', 'poder', 'ingresar', 'mi', 'información', 'ya', 'qeu', 'me', 'encantaría', 'poder', 'sumarme', 'a', 'su', 'proyecto', 'y', 'ser', 'parte', 'del', 'Instituto', 'Nacional', 'de', '####', '.', 'Espero', 'de', 'ante', 'mano', 'poder', 'ser', 'considerado', 'ya', 'que', 'tengo', 'mucha', 'ilusión', 'de', 'poder', 'formar', 'parte', 'del', 'gran', 'equipo', 'que', 'conforman', '.', 'Muchas', 'gracias', ',', 'les', 'envío', 'un', 'cordial', 'saludo', '.', 'Atentamente', '...', '""', '(', 'sic', ')']"
4,"['Buenas', 'noches', 'mi', 'nombre', 'es', '####', '####', '####', 'mi', 'rfc', 'es', '####', 'me', 'realice', 'una', 'resonancia', 'magnética', 'el', 'día', '20', 'de', 'junio', 'del', '2022', ',', 'hospital', 'de', 'alta', 'especialidad', 'bicentenario', 'de', '####', 'del', '####', 'me', 'están', 'atendiendo', 'en', 'el', 'hospital', 'centro', 'médico', '20', 'de', 'noviembre', 'del', '####', 'por', 'lo', 'que', 'necesito', 'una', 'copia', 'de', 'mi', 'resonancia', 'magnética', 'contrastada', 'que', 'me', 'realice', 'en', 'dicha', 'fecha', 'para', 'poder', 'presentarla', 'en', 'el', 'hospital', 'centro', 'médico', '20', 'de', 'noviembre', 'ya', 'que', 'por', 'cuestiones', 'técnicas', 'y', 'cambio', 'de', 'proveedor', 'no', 'la', 'han', 'podido', 'ver', 'en', 'el', 'visor', 'del', 'hospital', '20', 'de', 'noviembre', '.', 'Por', 'lo', 'que', 'la', 'necesito', 'presentar', 'físicamente', 'en', 'un', 'disco', 'para', 'que', 'los', 'puedan', 'ver', 'los', 'médicos', 'que', 'tratan', 'mi', 'padecimiento', 'en', 'el', 'hospital', '20', 'de', 'noviembre', '.', 'Quedo', 'en', 'espera', 'de', 'su', 'pronta', 'respuesta', 'quedo', 'a', 'sus', 'órdenes']"
5,"['A', 'quien', 'corresponda', ':', 'Primero', ',', 'quiero', 'agradecer', 'la', 'respuesta', 'y', 'la', 'atención', ',', 'explicaré', 'más', 'a', 'detalle', 'la', 'situación', 'y', 'mi', 'solicitud', ':', 'Por', 'cuestiones', 'personales', ',', 'me', 'veo', 'involucrada', 'en', 'una', 'demanda', 'de', 'parte', 'de', 'mi', 'padre', 'para', 'quitarme', 'la', 'pensión', 'alimenticia', '.', 'Aún', 'estoy', 'cursando', 'la', '####', 'pero', 'mi', 'desempeño', 'en', 'mis', 'obligaciones', 'escolares', 'decayó', 'por', 'problemas', 'de', 'salud', 'mental', ',', 'los', 'cuales', 'decidí', 'tratar', 'con', 'la', 'psicóloga', '####', '####', '####', 'con', 'cédula', 'profesional', '####', '####', '####', '####', '####', '.', 'Tomé', 'atención', 'psicológica', 'con', 'ella', 'desde', 'abril', 'de', '2021', 'hasta', 'marzo', 'del', 'presente', 'año', 'y', 'hace', 'algunas', 'semanas', 'retomé', 'el', 'contacto', 'para', 'solicitarle', 'un', 'resumen', 'clínico', 'detallado', 'que', 'tuviera', 'su', 'firma', ',', 'porque', 'se', 'ofreció', 'como', 'prueba', 'en', 'el', 'juicio', ',', 'a', 'lo', 'cual', 'solo', 'mandó', 'una', 'nota', 'sencilla', 'y', 'sin', 'firma', '(', 'anexo', 'documento', ')', '.', 'A', 'pesar', 'de', 'haberle', 'explicado', 'la', 'situación', ',', 'comentándole', 'que', 'no', 'necesitábamos', 'una', 'prueba', 'pericial', ',', 'se', 'negó', 'a', 'proporcionar', 'lo', 'solicitado', '.', 'Acudo', 'a', 'ustedes', 'para', 'satisfacer', 'mi', 'solicitud', 'de', 'recibir', 'de', 'parte', 'de', 'la', 'psicóloga', 'un', 'resumen', 'clínico', 'del', 'tratamiento', 'que', 'llevé', 'con', 'ella', 'durante', 'un', 'año', ',', 'detallado', 'y', 'firmado', '.']"
6,"['Buenos', 'días', 'Hace', 'días', 'mandé', 'mi', 'solicitud', 'de', 'corrección', 'de', 'datos', 'para', 'mí', 'certificado', 'de', 'vacunación', 'puesto', 'que', 'ya', 'no', 'cuento', 'con', 'el', 'número', 'ni', 'el', 'correo', 'que', 'puse', 'en', 'la', 'solicitud', 'pero', 'no', 'me', 'a', 'llegado', 'nada', 'y', 'me', 'urge', 'ayuda', '.', 'Mi', '####', 'es', '####', '.', 'SALUDOS', '.']"
7,"['Con', 'apego', 'en', 'los', 'procedimientos', 'establecidos', 'en', 'la', '####', ',', 'solicito', 'copia', 'simple', 'de', 'los', 'resultados', 'de', 'los', 'estudios', 'de', 'laboratorio', 'realizados', 'en', 'el', 'área', 'de', 'laboratorio', 'del', 'Centro', '####', 'Nacional', '20', 'de', 'noviembre', 'del', '####', ',', 'el', '10', 'de', 'agosto', 'de', '2022', '...']"
8,"['El', 'correo', 'se', 'capturo', 'de', 'manera', 'manual', 'y', 'ver', 'notas', 'del', 'caso', '.', 'Quiero', 'incribir', 'a', 'mi', 'hija', 'a', 'estudiar', 'en', 'linea', 'y', 'tambien', 'yo', 'si', 'mama', 'quiero', 'estudiar', 'en', 'linea', 'digame', 'que', 'tengo', 'que', 'aser', 'para', 'poder', 'inscribirnos', 'mi', 'hija', 'tiene', '12', 'añitos', 'y', 'no', 'curso', 'la', 'primaria']"
9,"['PPD.0065/16', '.', 'copia', 'certificada', '.', 'tenia', 'en', 'línea', 'al', '####', '####', '####', ',', 'para', 'dar', 'seguimiento', 'a', 'escritos', 'que', 'dejo', 'con', 'fichas', 'de', 'pago', ',', 'para', 'reproducción', 'de', 'información', 'de', 'las', 'resoluciones', 'a', 'dos', '####']"
