,testado
70,"['del', 'año', '2005', 'al', 'año', '2011', 'cuanto', 'dinero', 'se', 'pago', 'por', 'año', 'por', 'pago', 'de', 'convenios', 'laborales', ' ', 'numero', 'de', 'expediente', 'laboral', ' ', 'de', 'cada', 'convenio', ' ', 'nombre', 'de', 'actor', 'de', 'cada', 'convenio', ' ', 'monto', 'por', 'cada', 'expediente', ' ', 'persona', 'que', 'hizo', 'cada', 'convenio', ' ', 'la', 'autorizacion', 'de', 'director', 'general', 'para', 'convenir']"
71,"['del', 'año', '2005', 'al', 'año', '2011', 'cuanto', 'dinero', 'se', 'pago', 'por', 'año', 'por', 'pago', 'de', 'convenios', 'laborales', ' ', 'numero', 'de', 'expediente', 'laboral', ' ', 'de', 'cada', 'convenio', ' ', 'nombre', 'de', 'actor', 'de', 'cada', 'convenio', ' ', 'monto', 'por', 'cada', 'expediente', ' ', 'persona', 'que', 'hizo', 'cada', 'convenio', ' ', 'la', 'autorizacion', 'de', 'director', 'general', 'para', 'convenir']"
72,"['DESCRIPCIÓN', 'SOLICITUD']"
73,"['1', ')', 'Periodicidad', 'de', 'cobro', '(', 'semanal', 'quincenal', ')', 'de', 'su', 'sueldo', 'de', 'los', 'funcionarios', 'de', 'mayor', 'nivel', 'jerárquico', '(', 'incluyendo', 'al', '####', 'de', 'la', '####', ')', 'de', 'la', '####', '####', '####', ' ', '2', ')', 'Forma', 'de', 'pago', 'del', 'sueldo', 'de', 'los', 'funcionarios', 'antes', 'aludidos', '.', 'Si', 'es', 'vía', 'depósito', 'en', 'cuenta', 'nómina', 'o', 'tarjeta', 'de', 'débito', 'indicar', 'por', 'favor', 'la', 'institución', 'bancaria', 'encargada', 'de', 'pagar', 'o', 'de', 'administrar', '/', 'gestionar', 'todo', 'lo', 'relacionado', 'con', 'esos', 'pagos', ' ', '3', ')', 'Pago', 'de', 'aguinaldo', 'de', 'los', 'funcionarios', 'aludidos', '¿', 'Se', 'realiza', 'en', 'una', 'o', 'más', 'exhibiciones', '?', '¿', 'En', 'qué', 'fecha(s', ')', 'se', 'realiza', 'el', 'mismo', '?', '¿', 'A', 'cuánto', 'ascendió', 'en', 'el', 'año', '2011', 'el', 'aguinaldo', 'neto', 'de', '####', 'del', '####', '####', '####', '####', 'de', 'la', '####', '####', 'de', '####', 'y', 'demás', 'funcionarios', 'de', 'mayor', 'jerarquía', 'de', 'la', '####', '####', '####', '?']"
74,"['DESCRIPCIÓN', 'SOLICITUD']"
75,"['DESCRIPCIÓN', 'SOLICITUD']"
76,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'al', '####', '####', ' ', 'durante', 'cada', 'año', 'de', '2006', 'al', '2011', '.']"
77,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'la', '####', '####', 'de', 'la', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
78,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'a', 'la', '####', '####', 'de', 'la', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
79,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'contrato', 'o', 'convenio', 'específico', ' ', 'objeto', 'del', 'contrato', ' ', 'monto', 'económico', 'contratado', 'y', 'pagado', 'y', 'el', 'estatus', 'vigente', 'o', 'activo', ' ', 'de', 'cada', 'uno', 'de', 'los', 'contratos', 'o', 'convenios', 'específicos', 'firmados', 'con', 'instituciones', 'de', 'educación', 'superior', 'en', 'el', 'estado', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
